Название,Группа,Инструкция,Источник
Нурофен (ибупрофен),НПВС,"Нурофен содержит ибупрофен 200 или 400 мг. Обладает обезболивающим, жаропонижающим и противовоспалительным действием. Применяется при головной, зубной, менструальной боли, лихорадке при ОРВИ, боли в мышцах и суставах. Взрослым разовая доза 200–800 мг, максимум 2400 мг/сутки. Детям с 6 лет — 20–30 мг/кг/сутки в 3–4 приёма. Противопоказан при язве ЖКТ в стадии обострения, тяжёлой печёночной и почечной недостаточности, III триместре беременности, детям до 6 лет (для таблеток 200 мг). Побочные: диспепсия, НПВС-гастропатия, повышение АД, аллергия. При длительном приёме >3 дней требуется контроль картины крови и функции печени.",внутренняя база
Парацетамол,Анальгетик-антипиретик,"Парацетамол 500 мг — центральный ненаркотический анальгетик и жаропонижающее. Применяется при слабой и умеренной боли и лихорадке. Взрослым разовая доза 500–1000 мг, максимум 4 г/сутки. Детям — 10–15 мг/кг каждые 6 ч, максимум 60 мг/кг/сутки. Интервал между приёмами не менее 4 часов. Противопоказан при тяжёлой печёночной недостаточности и дефиците глюкозо-6-фосфатдегидрогеназы. При передозировке гепатотоксичен (даже 10–15 г могут быть смертельны).",внутренняя база
Цитрамон,Комбинированный анальгетик,"Цитрамон П содержит парацетамол 250 мг + ацетилсалициловая кислота 250 мг + кофеин 65 мг. Применяется при слабом и умеренном болевом синдроме (головная, зубная, менструальная боль). Взрослым по 1–2 таблетки 2–3 раза в день, максимум 6 таблеток/сутки. Противопоказан при язве ЖКТ, геморрагическом диатезе, бронхиальной астме на НПВС, беременности (I и III триместр), детям до 15 лет (риск синдрома Рейе).",внутренняя база
Кеторол (кеторолак),НПВС,"Кеторол содержит кеторолак 10 мг в таблетках или 30 мг/мл в ампулах. Самый мощный НПВС по обезболивающему эффекту. Применяется при сильной острой боли (послеоперационной, почечной колике, травмах). Таблетки: 10 мг до 4 раз в сутки, максимум 40 мг/сутки не более 5 дней. В/м: 30–60 мг однократно, затем по 15–30 мг каждые 6 ч, максимум 90 мг/сутки (60 мг у пожилых). Противопоказан при язве ЖКТ, почечной недостаточности, бронхиальной астме, беременности и родов. Высокий риск ЖКТ-кровотечений.",внутренняя база
Найз (нимесулид),НПВС,"Найз содержит нимесулид 100 мг. Селективный ингибитор ЦОГ-2. Применяется при острой боли, первичной дисменорее, остеоартрозе. Взрослым по 100 мг 2 раза в сутки после еды, максимум 200 мг/сутки, курс не более 15 дней. Противопоказан при активных заболеваниях печени, язве ЖКТ, тяжёлой почечной недостаточности, беременности. В РФ с 2022 г. запрещён детям до 12 лет из-за риска гепатотоксичности.",внутренняя база
Но-шпа (дротаверин),Миотропный спазмолитик,"Но-шпа содержит дротаверин 40 мг в таблетках или 20 мг/мл в ампулах. Расслабляет гладкую мускулатуру ЖКТ, желчевыводящих и мочевыводящих путей, сосудов. Применяется при спазмах ЖКТ, желчной и почечной колике, дисменорее. Таблетки: 40–80 мг 2–3 раза в сутки, максимум 240 мг. В/м, в/в: 40–80 мг. Практически не имеет противопоказаний, кроме тяжёлой печёночной, почечной и сердечной недостаточности.",внутренняя база
Активированный уголь,Энтеросорбент,"Активированный уголь — пористый сорбент. Применяется при отравлениях, метеоризме, диспепсии, аллергической природы. Взрослым 1–2 г 3–4 раза в день или 20–30 г на приём при отравлении. Детям — 0,05–0,2 г/кг. Не всасывается, выводится через ЖКТ, окрашивая кал в чёрный цвет. Противопоказан при язве ЖКТ и кровотечениях.",внутренняя база
Смекта (диоктаэдрический смектит),Энтеросорбент + противодиарейное,"Смекта обладает обволакивающим и адсорбирующим действием. Применяется при острой и хронической диарее, изжоге, вздутии. Взрослым 3 саше в сутки, детям до 1 года — 1 саше, 1–2 года — 1–2 саше, старше 2 лет — 2–3 саше. Разводится в 50–100 мл воды. Практически не имеет противопоказаний, кроме кишечной непроходимости.",внутренняя база
Энтеросгель,Энтеросорбент (полиметилсилоксан полигидрат),"Энтеросгель — селективный сорбент, не всасывается. Применяется при интоксикациях, аллергии, дисбактериозе, диарее. Взрослым 1 ст. л. (15 г) 3 раза в день за 1,5–2 ч до или после еды, запивая водой. Детям до 5 лет — 1 ч. л., 5–14 лет — 1 дес. л. 3 раза. Курс 7–14 дней.",внутренняя база
Линекс,Пробиотик,"Линекс содержит живые лиофилизированные молочнокислые бактерии (Lactobacillus acidophilus, Bifidobacterium infantis, Enterococcus faecium). Применяется для восстановления микрофлоры после антибиотиков, при диарее. Взрослым и детям старше 12 лет — 2 капсулы 3 раза в день, детям 2–12 лет — 1–2 капсулы 3 раза, новорождённым — 1 капсула 3 раза (раскрыть и смешать с водой).",внутренняя база
